iter	Passed	Remaining
535	8612	7455
536	8627	7439
537	8642	7422
538	8661	7407
539	8677	7391
540	8692	7374
541	8708	7358
542	8723	7341
543	8738	7325
544	8755	7309
545	8771	7293
546	8787	7277
547	8804	7262
548	8819	7245
549	8836	7229
550	8852	7213
551	8868	7197
552	8884	7181
553	8900	7165
554	8917	7150
555	8933	7134
556	8951	7119
557	8967	7103
558	8985	7088
559	9003	7074
560	9021	7059
561	9037	7043
562	9052	7026
563	9068	7010
564	9084	6993
565	9102	6979
566	9118	6963
567	9136	6948
568	9152	6932
569	9168	6916
570	9184	6900
571	9200	6884
572	9218	6869
573	9235	6854
574	9252	6838
575	9270	6824
576	9287	6808
577	9302	6791
578	9317	6775
579	9333	6758
580	9350	6743
581	9366	6727
582	9382	6711
583	9398	6695
584	9415	6679
585	9432	6663
586	9450	6649
587	9466	6633
588	9481	6616
589	9498	6600
590	9515	6585
591	9532	6569
592	9549	6554
593	9566	6538
594	9583	6522
595	9598	6506
596	9616	6491
597	9632	6475
598	9650	6460
599	9664	6443
600	9680	6426
601	9697	6411
602	9713	6395
603	9731	6380
604	9748	6364
605	9763	6348
606	9779	6331
607	9797	6316
608	9813	6300
609	9830	6285
610	9847	6269
611	9862	6252
612	9879	6237
613	9895	6220
614	9911	6204
615	9927	6188
616	9944	6173
617	9960	6157
618	9979	6142
619	9994	6125
620	10011	6110
621	10028	6094
622	10044	6078
623	10059	6061
624	10075	6045
625	10092	6029
626	10109	6013
627	10126	5998
628	10144	5983
629	10161	5968
630	10177	5951
631	10194	5936
632	10211	5920
633	10228	5904
634	10244	5888
635	10261	5872
636	10275	5855
637	10292	5840
638	10307	5823
639	10321	5805
640	10337	5789
641	10351	5772
642	10365	5755
643	10379	5737
644	10392	5719
645	10404	5701
646	10420	5685
647	10433	5667
648	10445	5649
649	10461	5632
650	10474	5615
651	10488	5598
652	10503	5581
653	10519	5565
654	10534	5548
655	10546	5530
656	10566	5516
657	10580	5499
658	10593	5481
659	10608	5464
660	10624	5448
661	10642	5433
662	10659	5418
663	10674	5401
664	10692	5386
665	10708	5370
666	10724	5354
667	10739	5337
668	10755	5321
669	10772	5305
670	10788	5289
671	10806	5274
672	10824	5259
673	10840	5243
674	10857	5227
675	10875	5212
676	10889	5195
677	10905	5179
678	10921	5163
679	10937	5147
680	10952	5130
681	10968	5114
682	10985	5098
683	11000	5082
684	11016	5065
685	11031	5049
686	11046	5032
687	11065	5018
688	11081	5001
689	11098	4986
690	11114	4970
691	11130	4954
692	11145	4937
693	11163	4922
694	11182	4907
695	11198	4891
696	11217	4876
697	11232	4859
698	11248	4843
699	11264	4827
700	11282	4812
701	11299	4796
702	11316	4780
703	11334	4765
704	11350	4749
705	11365	4732
706	11381	4716
707	11398	4701
708	11415	4685
709	11431	4669
710	11448	4653
711	11466	4638
712	11482	4622
713	11501	4606
714	11516	4590
715	11534	4575
716	11550	4558
717	11567	4543
718	11582	4526
719	11600	4511
720	11615	4494
721	11630	4478
722	11646	4461
723	11663	4446
724	11680	4430
725	11697	4414
726	11713	4398
727	11728	4382
728	11745	4366
729	11761	4350
730	11778	4334
731	11795	4318
732	11812	4302
733	11831	4287
734	11847	4271
735	11863	4255
736	11878	4238
737	11895	4222
738	11912	4207
739	11927	4190
740	11944	4174
741	11961	4159
742	11978	4143
743	11995	4127
744	12012	4111
745	12028	4095
746	12044	4079
747	12062	4063
748	12078	4047
749	12095	4031
750	12113	4016
751	12136	4002
752	12161	3989
753	12182	3974
754	12205	3960
755	12227	3946
756	12244	3930
757	12260	3914
758	12278	3898
759	12291	3881
760	12304	3864
761	12317	3847
762	12330	3830
763	12344	3813
764	12357	3796
765	12372	3779
766	12387	3763
767	12401	3746
768	12414	3729
769	12427	3712
770	12440	3695
771	12454	3678
772	12467	3661
773	12481	3644
774	12493	3627
775	12506	3610
776	12520	3593
777	12533	3576
778	12550	3560
779	12564	3543
780	12578	3527
781	12592	3510
782	12608	3494
783	12624	3478
784	12641	3462
785	12656	3445
786	12674	3430
787	12690	3414
788	12704	3397
789	12722	3381
790	12738	3365
791	12754	3349
792	12769	3333
793	12785	3317
794	12801	3300
795	12817	3284
796	12833	3268
797	12850	3252
798	12866	3236
799	12883	3220
800	12898	3204
801	12915	3188
802	12933	3172
803	12949	3156
804	12965	3140
805	12983	3124
806	12998	3108
807	13015	3092
808	13033	3077
809	13049	3061
810	13065	3044
811	13083	3029
812	13098	3012
813	13116	2997
814	13133	2981
815	13149	2965
816	13165	2949
817	13181	2932
818	13196	2916
819	13213	2900
820	13229	2884
821	13243	2867
822	13259	2851
823	13272	2834
824	13286	2818
825	13300	2801
826	13316	2785
827	13331	2769
828	13347	2753
829	13365	2737
830	13381	2721
831	13398	2705
832	13414	2689
833	13431	2673
834	13449	2657
835	13467	2642
836	13482	2625
837	13497	2609
